"","CP","CX","DA","DRS","DST","EJ","FZA","GHX","HJLL","HYX","JD","JMX","LCJ","LQ","LS","LX","QDH","RX","SFZ","SK","SL","SLZ","ST","SXK","WYL","XC","XNF","YK","YX","YZY","ZJP","ZJS"
"CP",0,0.068061,0.11395,0.176,0.073247,0.042125,0.067885,0.050053,0.092336,0.083841,0.043307,0.09381,0.18744,0.040521,0.047389,0.043844,0.029638,0.16112,0.055636,0.035013,0.024878,0.07028,0.090799,0.091066,0.093484,0.026522,0.031197,0.04015,0.050126,0.03556,0.050909,0.051675
"CX",0.068061,0,0.13266,0.19357,0.090196,0.061358,0.086389,0.068297,0.1125,0.10161,0.063718,0.1185,0.20531,0.063694,0.065491,0.063462,0.047159,0.17826,0.077361,0.055197,0.048585,0.090698,0.10899,0.11569,0.11833,0.046293,0.051027,0.061381,0.072081,0.055421,0.068036,0.082115
"DA",0.11395,0.13266,0,0.20534,0.087018,0.071095,0.12005,0.10343,0.14497,0.11154,0.10931,0.13006,0.21907,0.10935,0.10964,0.093226,0.080794,0.18702,0.11349,0.095376,0.076377,0.13272,0.14383,0.15814,0.16886,0.071384,0.096852,0.10861,0.11295,0.094835,0.080767,0.099113
"DRS",0.176,0.19357,0.20534,0,0.15757,0.13911,0.18688,0.16322,0.19776,0.15128,0.16505,0.15295,0.065491,0.1764,0.16746,0.15943,0.13208,0.16555,0.16473,0.15016,0.14579,0.19466,0.21103,0.2252,0.2577,0.13445,0.157,0.17312,0.18006,0.1538,0.14059,0.16484
"DST",0.073247,0.090196,0.087018,0.15757,0,0.031029,0.07779,0.065057,0.099515,0.076091,0.071618,0.074854,0.16823,0.066129,0.071603,0.052976,0.048964,0.14414,0.079778,0.060256,0.03399,0.090483,0.10076,0.11131,0.11345,0.03312,0.058438,0.066527,0.069332,0.057373,0.045689,0.029573
"EJ",0.042125,0.061358,0.071095,0.13911,0.031029,0,0.045221,0.036022,0.07091,0.052763,0.042413,0.044456,0.14981,0.031581,0.040747,0.024042,0.022482,0.12565,0.054388,0.031065,0.0027949,0.061041,0.073145,0.082074,0.07821,0.0040674,0.025438,0.031352,0.03696,0.025026,0.023572,-0.0083878
"FZA",0.067885,0.086389,0.12005,0.18688,0.07779,0.045221,0,0.058914,0.10861,0.09163,0.063964,0.10498,0.19893,0.059677,0.062456,0.056038,0.044671,0.17209,0.075638,0.053121,0.038974,0.086321,0.089545,0.11001,0.11658,0.036013,0.049845,0.056763,0.066419,0.044163,0.057339,0.062473
"GHX",0.050053,0.068297,0.10343,0.16322,0.065057,0.036022,0.058914,0,0.088806,0.077433,0.048004,0.081281,0.17375,0.041088,0.046437,0.041764,0.031265,0.14972,0.061067,0.039099,0.025185,0.069297,0.083985,0.092042,0.091029,0.024949,0.032868,0.040019,0.04965,0.03431,0.046294,0.038008
"HJLL",0.092336,0.1125,0.14497,0.19776,0.099515,0.07091,0.10861,0.088806,0,0.096436,0.087127,0.10482,0.21305,0.089223,0.088678,0.080537,0.065417,0.16164,0.097804,0.075794,0.063587,0.1153,0.13078,0.14389,0.14408,0.057991,0.074873,0.085311,0.094023,0.074556,0.076358,0.07932
"HYX",0.083841,0.10161,0.11154,0.15128,0.076091,0.052763,0.09163,0.077433,0.096436,0,0.081534,0.049699,0.16325,0.077026,0.0814,0.068942,0.060401,0.11418,0.089906,0.069855,0.051081,0.10173,0.11697,0.12476,0.12578,0.049758,0.067756,0.076067,0.081816,0.066984,0.061663,0.024805
"JD",0.043307,0.063718,0.10931,0.16505,0.071618,0.042413,0.063964,0.048004,0.087127,0.081534,0,0.087756,0.17552,0.038797,0.044398,0.041872,0.028778,0.15256,0.05716,0.035252,0.027,0.065825,0.087484,0.089949,0.085716,0.027859,0.02915,0.036273,0.048257,0.035233,0.049133,0.046909
"JMX",0.09381,0.1185,0.13006,0.15295,0.074854,0.044456,0.10498,0.081281,0.10482,0.049699,0.087756,0,0.17582,0.081364,0.087325,0.067975,0.054207,0.059461,0.09802,0.069362,0.039988,0.11703,0.14412,0.15625,0.17415,0.040006,0.067076,0.081255,0.09034,0.065801,0.056737,-0.031922
"LCJ",0.18744,0.20531,0.21907,0.065491,0.16823,0.14981,0.19893,0.17375,0.21305,0.16325,0.17552,0.17582,0,0.18951,0.17804,0.17088,0.1401,0.18294,0.17344,0.15983,0.158,0.20695,0.22135,0.23877,0.27685,0.14462,0.16808,0.18544,0.19244,0.16448,0.14974,0.19205
"LQ",0.040521,0.063694,0.10935,0.1764,0.066129,0.031581,0.059677,0.041088,0.089223,0.077026,0.038797,0.081364,0.18951,0,0.040018,0.035541,0.021411,0.1601,0.051793,0.027499,0.01399,0.062427,0.088071,0.090735,0.091543,0.016319,0.020821,0.030781,0.041828,0.02702,0.042567,0.031551
