Group1,Group2,Mean_FST,Weighted_FST
CP,CX,0.068061,0.099654
CP,LX,0.043844,0.065539
CP,SL,0.024878,0.037129
CP,HYX,0.083841,0.12571
CP,EJ,0.042125,0.062024
CP,DST,0.073247,0.10466
CP,SK,0.035013,0.050798
CP,QDH,0.029638,0.044152
CP,DRS,0.176,0.29358
CP,LCJ,0.18744,0.3112
CP,JMX,0.09381,0.16854
CP,HJLL,0.092336,0.1301
CP,RX,0.16112,0.25957
CP,DA,0.11395,0.17451
CP,GHX,0.050053,0.071919
CP,SFZ,0.055636,0.075111
CP,LS,0.047389,0.067436
CP,FZA,0.067885,0.10321
CP,LQ,0.040521,0.058403
CP,JD,0.043307,0.060588
CP,SLZ,0.07028,0.10716
CP,WYL,0.093484,0.14277
CP,ST,0.090799,0.11116
CP,XNF,0.031197,0.045742
CP,XC,0.026522,0.039804
CP,YK,0.04015,0.058445
CP,YX,0.050126,0.073256
CP,ZJS,0.051675,0.099913
CX,DRS,0.19357,0.32498
CP,YZY,0.03556,0.052266
CX,DA,0.13266,0.2079
CP,ZJP,0.050909,0.070575
CX,FZA,0.086389,0.13644
CX,DST,0.090196,0.13583
CX,EJ,0.061358,0.096093
CX,GHX,0.068297,0.1049
CP,SXK,0.091066,0.12906
CX,LCJ,0.20531,0.34224
CX,JMX,0.1185,0.20743
CX,LX,0.063462,0.10037
CX,LQ,0.063694,0.096555
CX,LS,0.065491,0.10035
CX,QDH,0.047159,0.076949
CX,RX,0.17826,0.29038
CX,JD,0.063718,0.096882
CX,HYX,0.10161,0.15811
CX,HJLL,0.1125,0.16352
CX,SFZ,0.077361,0.113
CX,WYL,0.11833,0.18223
CX,SL,0.048585,0.075896
CX,SLZ,0.090698,0.14345
CX,ST,0.10899,0.13938
CX,SK,0.055197,0.086759
CX,SXK,0.11569,0.17057
CX,XC,0.046293,0.074185
CX,XNF,0.051027,0.080404
CX,YK,0.061381,0.094233
DA,DRS,0.20534,0.33549
CX,YX,0.072081,0.10995
CX,ZJS,0.082115,0.14318
CX,ZJP,0.068036,0.10137
DA,DST,0.087018,0.1342
DA,EJ,0.071095,0.11524
CX,YZY,0.055421,0.087075
DA,LCJ,0.21907,0.35443
DA,JMX,0.13006,0.21511
DA,HYX,0.11154,0.17494
DA,JD,0.10931,0.17372
DA,LQ,0.10935,0.16982
DA,LS,0.10964,0.17441
DA,LX,0.093226,0.14977
DA,QDH,0.080794,0.13768
DA,RX,0.18702,0.29765
DA,FZA,0.12005,0.19212
DA,GHX,0.10343,0.16522
DA,HJLL,0.14497,0.21043
DA,SLZ,0.13272,0.21289
DA,SL,0.076377,0.12209
DA,WYL,0.16886,0.25031
DA,SK,0.095376,0.15636
DA,ST,0.14383,0.18981
DA,SXK,0.15814,0.23613
DA,XC,0.071384,0.11911
DA,XNF,0.096852,0.1572
DA,YK,0.10861,0.17095
DA,YX,0.11295,0.17577
DA,SFZ,0.11349,0.17624
DA,YZY,0.094835,0.15432
DA,ZJS,0.099113,0.15599
DA,ZJP,0.080767,0.12627
DRS,DST,0.15757,0.26632
DRS,EJ,0.13911,0.24633
DRS,FZA,0.18688,0.31974
DRS,GHX,0.16322,0.28502
DRS,HJLL,0.19776,0.29768
DRS,LCJ,0.065491,0.10553
DRS,JMX,0.15295,0.24065
DRS,JD,0.16505,0.28809
DRS,LS,0.16746,0.29155
DRS,LQ,0.1764,0.29411
DRS,HYX,0.15128,0.253
DRS,LX,0.15943,0.27868
DRS,QDH,0.13208,0.25113
DRS,RX,0.16555,0.2687
DRS,SK,0.15016,0.2715
DRS,SFZ,0.16473,0.28399
DRS,WYL,0.2577,0.38722
DRS,SXK,0.2252,0.35446
DRS,ST,0.21103,0.30055
DRS,SLZ,0.19466,0.33237
DRS,XC,0.13445,0.24606
DRS,XNF,0.157,0.27765
DRS,SL,0.14579,0.2539
DRS,YZY,0.1538,0.27295
DRS,ZJS,0.16484,0.2297
DRS,ZJP,0.14059,0.2432
DST,EJ,0.031029,0.045663
DST,FZA,0.07779,0.11991
DST,HJLL,0.099515,0.14309
DST,HYX,0.076091,0.11399
DST,JD,0.071618,0.10475
DST,LCJ,0.16823,0.28345
DRS,YX,0.18006,0.30101
DST,JMX,0.074854,0.14115
DST,SFZ,0.079778,0.11287
DRS,YK,0.17312,0.29369
DST,LQ,0.066129,0.097674
DST,LX,0.052976,0.080124
DST,LS,0.071603,0.10607
DST,QDH,0.048964,0.073625
DST,RX,0.14414,0.23396
DST,GHX,0.065057,0.096468
DST,SL,0.03399,0.049996
DST,SLZ,0.090483,0.141
DST,ST,0.10076,0.12606
DST,WYL,0.11345,0.17715
DST,SXK,0.11131,0.16441
DST,XC,0.03312,0.049319
DST,XNF,0.058438,0.0877
DST,SK,0.060256,0.089786
EJ,FZA,0.045221,0.075596
DST,YK,0.066527,0.09885
DST,YX,0.069332,0.10289
DST,ZJP,0.045689,0.063443
EJ,GHX,0.036022,0.055739
EJ,JMX,0.044456,0.11093
EJ,HJLL,0.07091,0.10721
EJ,JD,0.042413,0.062938
EJ,HYX,0.052763,0.083558
DST,YZY,0.057373,0.08589
DST,ZJS,0.029573,0.070917
EJ,LQ,0.031581,0.053378
EJ,LX,0.024042,0.042337
EJ,LS,0.040747,0.06226
EJ,RX,0.12565,0.21271
EJ,QDH,0.022482,0.035277
EJ,LCJ,0.14981,0.26433
EJ,SFZ,0.054388,0.074667
EJ,SK,0.031065,0.048249
EJ,SLZ,0.061041,0.1004
EJ,SXK,0.082074,0.12425
EJ,ST,0.073145,0.091181
EJ,WYL,0.07821,0.13474
EJ,XC,0.0040674,0.011557
EJ,YK,0.031352,0.052695
EJ,XNF,0.025438,0.042822
EJ,YX,0.03696,0.060864
EJ,SL,0.0027949,0.01173
EJ,YZY,0.025026,0.04154
FZA,HJLL,0.10861,0.16234
FZA,GHX,0.058914,0.094337
FZA,JD,0.063964,0.10063
FZA,LCJ,0.19893,0.33774
FZA,JMX,0.10498,0.19458
FZA,LQ,0.059677,0.095696
FZA,LS,0.062456,0.099296
EJ,ZJS,-0.0083878,0.034279
EJ,ZJP,0.023572,0.034069
FZA,HYX,0.09163,0.14619
FZA,LX,0.056038,0.093335
FZA,RX,0.17209,0.28541
FZA,QDH,0.044671,0.075887
FZA,SFZ,0.075638,0.11336
FZA,SK,0.053121,0.087251
FZA,SXK,0.11001,0.16621
FZA,SL,0.038974,0.066692
FZA,SLZ,0.086321,0.14134
FZA,ST,0.089545,0.11524
FZA,WYL,0.11658,0.18547
FZA,XNF,0.049845,0.083076
FZA,XC,0.036013,0.063064
FZA,YX,0.066419,0.1063
FZA,YK,0.056763,0.09233
FZA,ZJS,0.062473,0.12438
FZA,ZJP,0.057339,0.088673
FZA,YZY,0.044163,0.074269
GHX,JMX,0.081281,0.15898
GHX,LS,0.046437,0.069876
GHX,QDH,0.031265,0.048745
GHX,LCJ,0.17375,0.30227
GHX,LQ,0.041088,0.06393
GHX,LX,0.041764,0.066271
GHX,RX,0.14972,0.25167
GHX,SFZ,0.061067,0.085797
GHX,SK,0.039099,0.059543
GHX,HJLL,0.088806,0.13162
GHX,HYX,0.077433,0.12044
GHX,JD,0.048004,0.070922
GHX,WYL,0.091029,0.14892
GHX,SLZ,0.069297,0.11133
GHX,SXK,0.092042,0.13778
