,pop,lon,lat,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,Elevation,SRAD,SOC,PHH2O
1,AF,114.7062485,27.27119575,17.95260406,8.261458397,26.56411195,833.2352982,33.46249914,2.362500041,31.09999967,22.20000053,9.254166365,27.79583311,7.345833361,1510.5,229.75,43.375,51.53455448,665.125,170.375,460.125,207.375,85.75,14321.52112,21.74999988,5.724999964
2,AJ,119.8493602,30.72866792,15.4597222,7.569444497,24.17028014,874.1510925,30.93333276,-0.383333338,31.31666597,25.18055535,6.622222185,25.96944428,4.450000048,1244,203.8333333,35,53.42911148,511.5,126.8333333,511.3333333,151.5,117,14802.33317,39.81666692,6.033333302
3,AQ,116.3599187,30.85115839,14.86875009,8.700000167,27.41230631,875.2209091,30.43749976,-1.299999952,31.737499,25.41250014,3.889583289,25.41250014,3.889583289,1523.5,265.75,31,55.99678087,654.125,133.25,654.125,133.25,386.5,14655.94812,26.09999943,5.900000095
4,BDG,117.6869279,34.99793523,13.03697885,10.41145789,29.23540735,984.1840515,29.5250001,-6.087499917,35.61249876,24.66666627,0.314583395,24.66666627,0.314583395,724,206,10,102.4740381,463.875,38.125,463.875,38.125,259.875,16097.37476,29.51250005,6.900000095
5,BGS,116.7978016,32.65402965,15.57083321,9.274999619,27.52225494,940.4821167,31.29999924,-2.400000095,33.70000076,26.79999924,3.566666603,26.79999924,3.566666603,882,186,22,64.43080139,421,80,421,80,54,15304.75,23.79999924,6.699999809
6,CLS,117.3364004,36.02772691,10.90972222,10.04537031,27.54773818,1014.052124,27.86666637,-8.588888804,36.45555453,22.84999996,-2.235185193,22.84999996,-2.235185193,765.6666667,236.4444444,6.666666667,109.738511,494.6666667,25.88888889,494.6666667,25.88888889,654.1111111,16286.98123,40.97777663,6.699999968
7,CSYS,120.7308459,31.64970761,15.76822936,7.115625024,22.92584992,893.1820298,31.0250001,-0.012500001,31.03750014,26.47708345,11.93333328,26.47708345,4.579166591,1016.25,193.125,32.75,63.92098379,479.625,114.375,479.625,125.25,36.375,14748.59375,43.12499953,6.462500036
8,DK,112.8094908,31.1077521,15.63035733,7.891666753,25.28222275,865.1916156,30.5571428,-0.657142873,31.21428544,24.03333337,4.626190594,25.98333331,4.626190594,1033.285714,176.2857143,18.85714286,57.55675561,447.5714286,77.14285714,435.5714286,77.14285714,220,13599.52372,37.59999956,6.228571278
9,FLYS,117.030102,25.09682317,20.14166641,9.633333206,36.21553802,614.1802979,33,6.400000095,26.60000038,23.03333282,13.84999943,27.14999962,12.21666622,1483,242,32,58.47319794,652,123,555,162,338,14731.75,38.5,5.53333
10,FX,110.8120011,32.04548291,14.62023817,10.15952369,30.41532462,859.6841867,30.78571401,-2.614285708,33.39999934,24.05476189,3.711904764,25.0238097,3.711904764,1020,179.8571429,13.28571429,65.58570644,458.8571429,49.85714286,444.1428571,49.85714286,514.7142857,13617.51186,37.21428681,6.599999973
