CHROM BIN_START 99999 SNP_COUNT
Chr01 0 99999 3205
Chr01 100000 199999 2872
Chr01 200000 299999 3613
Chr01 300000 399999 4061
Chr01 400000 499999 3108
Chr01 500000 599999 4023
Chr01 600000 699999 3382
Chr01 700000 799999 3204
Chr01 800000 899999 3504
Chr01 900000 999999 3386
Chr01 1000000 1099999 3679
Chr01 1100000 1199999 3556
Chr01 1200000 1299999 3183
Chr01 1300000 1399999 3074
Chr01 1400000 1499999 2980
Chr01 1500000 1599999 3949
Chr01 1600000 1699999 3851
Chr01 1700000 1799999 3626
Chr01 1800000 1899999 3743
Chr01 1900000 1999999 2914
Chr01 2000000 2099999 3237
Chr01 2100000 2199999 3965
Chr01 2200000 2299999 3415
Chr01 2300000 2399999 3431
Chr01 2400000 2499999 3074
Chr01 2500000 2599999 3830
Chr01 2600000 2699999 3347
Chr01 2700000 2799999 2937
Chr01 2800000 2899999 3128
Chr01 2900000 2999999 3634
Chr01 3000000 3099999 3457
Chr01 3100000 3199999 3125
Chr01 3200000 3299999 3701
Chr01 3300000 3399999 2779
Chr01 3400000 3499999 4000
Chr01 3500000 3599999 3408
Chr01 3600000 3699999 3522
Chr01 3700000 3799999 4414
Chr01 3800000 3899999 3251
Chr01 3900000 3999999 3243
Chr01 4000000 4099999 3480
Chr01 4100000 4199999 3431
Chr01 4200000 4299999 3927
Chr01 4300000 4399999 3596
Chr01 4400000 4499999 3945
Chr01 4500000 4599999 2968
Chr01 4600000 4699999 2247
Chr01 4700000 4799999 3157
Chr01 4800000 4899999 3519
Chr01 4900000 4999999 3199
Chr01 5000000 5099999 3776
Chr01 5100000 5199999 3169
Chr01 5200000 5299999 3626
Chr01 5300000 5399999 3221
Chr01 5400000 5499999 3726
Chr01 5500000 5599999 3553
Chr01 5600000 5699999 3257
Chr01 5700000 5799999 3344
Chr01 5800000 5899999 3272
Chr01 5900000 5999999 2716
Chr01 6000000 6099999 2374
Chr01 6100000 6199999 2607
Chr01 6200000 6299999 2272
Chr01 6300000 6399999 2461
Chr01 6400000 6499999 2406
Chr01 6500000 6599999 1954
Chr01 6600000 6699999 2468
Chr01 6700000 6799999 2291
Chr01 6800000 6899999 3215
Chr01 6900000 6999999 3874
Chr01 7000000 7099999 2919
Chr01 7100000 7199999 3281
Chr01 7200000 7299999 3970
Chr01 7300000 7399999 2998
Chr01 7400000 7499999 3309
Chr01 7500000 7599999 3070
Chr01 7600000 7699999 3266
Chr01 7700000 7799999 3150
Chr01 7800000 7899999 3986
Chr01 7900000 7999999 3816
Chr01 8000000 8099999 3599
Chr01 8100000 8199999 3776
Chr01 8200000 8299999 2941
Chr01 8300000 8399999 3717
Chr01 8400000 8499999 3642
Chr01 8500000 8599999 3933
Chr01 8600000 8699999 3136
Chr01 8700000 8799999 3568
Chr01 8800000 8899999 3669
Chr01 8900000 8999999 3819
Chr01 9000000 9099999 3512
Chr01 9100000 9199999 3193
Chr01 9200000 9299999 2908
Chr01 9300000 9399999 3753
Chr01 9400000 9499999 3480
Chr01 9500000 9599999 3300
Chr01 9600000 9699999 3583
Chr01 9700000 9799999 3957
Chr01 9800000 9899999 3274
Chr01 9900000 9999999 3225
Chr01 10000000 10099999 3136
Chr01 10100000 10199999 3574
Chr01 10200000 10299999 3559
Chr01 10300000 10399999 3324
Chr01 10400000 10499999 3707
Chr01 10500000 10599999 2185
Chr01 10600000 10699999 2214
Chr01 10700000 10799999 3825
Chr01 10800000 10899999 4119
Chr01 10900000 10999999 3368
Chr01 11000000 11099999 3558
Chr01 11100000 11199999 3370
Chr01 11200000 11299999 3532
Chr01 11300000 11399999 3515
Chr01 11400000 11499999 3334
Chr01 11500000 11599999 4014
Chr01 11600000 11699999 3514
Chr01 11700000 11799999 3453
Chr01 11800000 11899999 3592
Chr01 11900000 11999999 4000
Chr01 12000000 12099999 3186
Chr01 12100000 12199999 3152
Chr01 12200000 12299999 3049
Chr01 12300000 12399999 3604
Chr01 12400000 12499999 3338
Chr01 12500000 12599999 3347
Chr01 12600000 12699999 4109
Chr01 12700000 12799999 2602
Chr01 12800000 12899999 2371
Chr01 12900000 12999999 2167
Chr01 13000000 13099999 2180
Chr01 13100000 13199999 2494
Chr01 13200000 13299999 1987
Chr01 13300000 13399999 2374
Chr01 13400000 13499999 2044
Chr01 13500000 13599999 2325
Chr01 13600000 13699999 2186
Chr01 13700000 13799999 2389
Chr01 13800000 13899999 2219
Chr01 13900000 13999999 2010
Chr01 14000000 14099999 3331
Chr01 14100000 14199999 3678
Chr01 14200000 14299999 3344
Chr01 14300000 14399999 3560
Chr01 14400000 14499999 3542
Chr01 14500000 14599999 2952
Chr01 14600000 14699999 3756
Chr01 14700000 14799999 3023
Chr01 14800000 14899999 2727
Chr01 14900000 14999999 2080
Chr01 15000000 15099999 3588
Chr01 15100000 15199999 3549
Chr01 15200000 15299999 3382
Chr01 15300000 15399999 3556
Chr01 15400000 15499999 3762
Chr01 15500000 15599999 3650
Chr01 15600000 15699999 3139
Chr01 15700000 15799999 2501
Chr01 15800000 15899999 3898
Chr01 15900000 15999999 3394
Chr01 16000000 16099999 3359
Chr01 16100000 16199999 3152
Chr01 16200000 16299999 3763
Chr01 16300000 16399999 2883
Chr01 16400000 16499999 3958
Chr01 16500000 16599999 3127
Chr01 16600000 16699999 3067
Chr01 16700000 16799999 3734
Chr01 16800000 16899999 3571
Chr01 16900000 16999999 2035
Chr01 17000000 17099999 1845
Chr01 17100000 17199999 2283
Chr01 17200000 17299999 2955
Chr01 17300000 17399999 3611
Chr01 17400000 17499999 4005
Chr01 17500000 17599999 4054
Chr01 17600000 17699999 3441
Chr01 17700000 17799999 3771
Chr01 17800000 17899999 3467
Chr01 17900000 17999999 3574
Chr01 18000000 18099999 3239
Chr01 18100000 18199999 3836
Chr01 18200000 18299999 3708
Chr01 18300000 18399999 3337
Chr01 18400000 18499999 3561
Chr01 18500000 18599999 3329
Chr01 18600000 18699999 3795
Chr01 18700000 18799999 4143
Chr01 18800000 18899999 3271
Chr01 18900000 18999999 3907
Chr01 19000000 19099999 3619
Chr01 19100000 19199999 2987
Chr01 19200000 19299999 3567
Chr01 19300000 19399999 3640
Chr01 19400000 19499999 3636
Chr01 19500000 19599999 3584
Chr01 19600000 19699999 3024
Chr01 19700000 19799999 2382
Chr01 19800000 19899999 2430
Chr01 19900000 19999999 3015
Chr01 20000000 20099999 3035
Chr01 20100000 20199999 2604
Chr01 20200000 20299999 3719
Chr01 20300000 20399999 4190
Chr01 20400000 20499999 3099
Chr01 20500000 20599999 3686
Chr01 20600000 20699999 3798
Chr01 20700000 20799999 3520
Chr01 20800000 20899999 3712
Chr01 20900000 20999999 3698
Chr01 21000000 21099999 3418
Chr01 21100000 21199999 3015
Chr01 21200000 21299999 3240
Chr01 21300000 21399999 2363
Chr01 21400000 21499999 3240
Chr01 21500000 21599999 3281
Chr01 21600000 21699999 3965
Chr01 21700000 21799999 3924
Chr01 21800000 21899999 3777
Chr01 21900000 21999999 2945
Chr01 22000000 22099999 2871
Chr01 22100000 22199999 3236
Chr01 22200000 22299999 3446
Chr01 22300000 22399999 3313
Chr01 22400000 22499999 3753
Chr01 22500000 22599999 3563
Chr01 22600000 22699999 4038
Chr01 22700000 22799999 3683
Chr01 22800000 22899999 3735
Chr01 22900000 22999999 3352
Chr01 23000000 23099999 3646
Chr01 23100000 23199999 2337
Chr01 23200000 23299999 3161
Chr01 23300000 23399999 2435
Chr01 23400000 23499999 2914
Chr01 23500000 23599999 2086
Chr01 23600000 23699999 2119
Chr01 23700000 23799999 2096
Chr01 23800000 23899999 2347
Chr01 23900000 23999999 3555
Chr01 24000000 24099999 3635
Chr01 24100000 24199999 3624
Chr01 24200000 24299999 3734
Chr01 24300000 24399999 3299
Chr01 24400000 24499999 3727
Chr01 24500000 24599999 3485
Chr01 24600000 24699999 2628
Chr01 24700000 24799999 1922
Chr01 24800000 24899999 2268
Chr01 24900000 24999999 2385
Chr01 25000000 25099999 2682
Chr01 25100000 25199999 2737
Chr01 25200000 25299999 2582
Chr01 25300000 25399999 3124
Chr01 25400000 25499999 3722
Chr01 25500000 25599999 3506
Chr01 25600000 25699999 2863
Chr01 25700000 25799999 3506
Chr01 25800000 25899999 3323
Chr01 25900000 25999999 3329
Chr01 26000000 26099999 3660
Chr01 26100000 26199999 3292
Chr01 26200000 26299999 2806
Chr01 26300000 26399999 1924
Chr01 26400000 26499999 2606
Chr01 26500000 26599999 1557
Chr01 26600000 26699999 1738
Chr01 26700000 26799999 2628
Chr01 26800000 26899999 3790
Chr01 26900000 26999999 3781
Chr01 27000000 27099999 3780
Chr01 27100000 27199999 2734
Chr01 27200000 27299999 2581
Chr01 27300000 27399999 2572
Chr01 27400000 27499999 3822
Chr01 27500000 27599999 3397
Chr01 27600000 27699999 2349
Chr01 27700000 27799999 3461
Chr01 27800000 27899999 3367
Chr01 27900000 27999999 3005
Chr01 28000000 28099999 2836
Chr01 28100000 28199999 3467
Chr01 28200000 28299999 3325
Chr01 28300000 28399999 3617
Chr01 28400000 28499999 2838
Chr01 28500000 28599999 2491
Chr01 28600000 28699999 2615
Chr01 28700000 28799999 2521
Chr01 28800000 28899999 2916
Chr01 28900000 28999999 3350
Chr01 29000000 29099999 3085
Chr01 29100000 29199999 3595
Chr01 29200000 29299999 2847
Chr01 29300000 29399999 3397
Chr01 29400000 29499999 3594
Chr01 29500000 29599999 3657
Chr01 29600000 29699999 2979
Chr01 29700000 29799999 3289
Chr01 29800000 29899999 3097
Chr01 29900000 29999999 3363
Chr01 30000000 30099999 3258
Chr01 30100000 30199999 3356
Chr01 30200000 30299999 3962
Chr01 30300000 30399999 3228
Chr01 30400000 30499999 2846
Chr01 30500000 30599999 2206
Chr01 30600000 30699999 2534
Chr01 30700000 30799999 2525
Chr01 30800000 30899999 1659
Chr01 30900000 30999999 2499
Chr01 31000000 31099999 1941
Chr01 31100000 31199999 3405
Chr01 31200000 31299999 3283
Chr01 31300000 31399999 3761
Chr01 31400000 31499999 3199
Chr01 31500000 31599999 2586
Chr01 31600000 31699999 2586
Chr01 31700000 31799999 1996
Chr01 31800000 31899999 1993
Chr01 31900000 31999999 2783
Chr01 32000000 32099999 3083
Chr01 32100000 32199999 2403
Chr01 32200000 32299999 2544
Chr01 32300000 32399999 2098
Chr01 32400000 32499999 2487
Chr01 32500000 32599999 2160
Chr01 32600000 32699999 2037
Chr01 32700000 32799999 2708
Chr01 32800000 32899999 2746
Chr01 32900000 32999999 2819
Chr01 33000000 33099999 3349
Chr01 33100000 33199999 2885
Chr01 33200000 33299999 2956
Chr01 33300000 33399999 3062
Chr01 33400000 33499999 3484
Chr01 33500000 33599999 2806
Chr01 33600000 33699999 2994
Chr01 33700000 33799999 3289
Chr01 33800000 33899999 3159
Chr01 33900000 33999999 2735
Chr01 34000000 34099999 2938
