CHROM BIN_START 99999 SNP_COUNT
Chr01 0 99999 23328
Chr01 100000 199999 23832
Chr01 200000 299999 26445
Chr01 300000 399999 25830
Chr01 400000 499999 23092
Chr01 500000 599999 26800
Chr01 600000 699999 23758
Chr01 700000 799999 22436
Chr01 800000 899999 21569
Chr01 900000 999999 23790
Chr01 1000000 1099999 25779
Chr01 1100000 1199999 26219
Chr01 1200000 1299999 24845
Chr01 1300000 1399999 23410
Chr01 1400000 1499999 23436
Chr01 1500000 1599999 22645
Chr01 1600000 1699999 24477
Chr01 1700000 1799999 25733
Chr01 1800000 1899999 24523
Chr01 1900000 1999999 21974
Chr01 2000000 2099999 25069
Chr01 2100000 2199999 24084
Chr01 2200000 2299999 23446
Chr01 2300000 2399999 27136
Chr01 2400000 2499999 23386
Chr01 2500000 2599999 22750
Chr01 2600000 2699999 23293
Chr01 2700000 2799999 22678
Chr01 2800000 2899999 23019
Chr01 2900000 2999999 25327
Chr01 3000000 3099999 24508
Chr01 3100000 3199999 23363
Chr01 3200000 3299999 23324
Chr01 3300000 3399999 23600
Chr01 3400000 3499999 24812
Chr01 3500000 3599999 24487
Chr01 3600000 3699999 22935
Chr01 3700000 3799999 23896
Chr01 3800000 3899999 22567
Chr01 3900000 3999999 25895
Chr01 4000000 4099999 22007
Chr01 4100000 4199999 23169
Chr01 4200000 4299999 23269
Chr01 4300000 4399999 23500
Chr01 4400000 4499999 23201
Chr01 4500000 4599999 23838
Chr01 4600000 4699999 16040
Chr01 4700000 4799999 22719
Chr01 4800000 4899999 23517
Chr01 4900000 4999999 20932
Chr01 5000000 5099999 23585
Chr01 5100000 5199999 23215
Chr01 5200000 5299999 22686
Chr01 5300000 5399999 22764
Chr01 5400000 5499999 23960
Chr01 5500000 5599999 22936
Chr01 5600000 5699999 22217
Chr01 5700000 5799999 22343
Chr01 5800000 5899999 22800
Chr01 5900000 5999999 19678
Chr01 6000000 6099999 18687
Chr01 6100000 6199999 20033
Chr01 6200000 6299999 16865
Chr01 6300000 6399999 16224
Chr01 6400000 6499999 18356
Chr01 6500000 6599999 14103
Chr01 6600000 6699999 16464
Chr01 6700000 6799999 16659
Chr01 6800000 6899999 21430
Chr01 6900000 6999999 22889
Chr01 7000000 7099999 22583
Chr01 7100000 7199999 23884
Chr01 7200000 7299999 23983
Chr01 7300000 7399999 18814
Chr01 7400000 7499999 23772
Chr01 7500000 7599999 19985
Chr01 7600000 7699999 21815
Chr01 7700000 7799999 22834
Chr01 7800000 7899999 23590
Chr01 7900000 7999999 22059
Chr01 8000000 8099999 24429
Chr01 8100000 8199999 24327
Chr01 8200000 8299999 18943
Chr01 8300000 8399999 24696
Chr01 8400000 8499999 22741
Chr01 8500000 8599999 23224
Chr01 8600000 8699999 21501
Chr01 8700000 8799999 21405
Chr01 8800000 8899999 21649
Chr01 8900000 8999999 22795
Chr01 9000000 9099999 23566
Chr01 9100000 9199999 20108
Chr01 9200000 9299999 18510
Chr01 9300000 9399999 21918
Chr01 9400000 9499999 22656
Chr01 9500000 9599999 20888
Chr01 9600000 9699999 23734
Chr01 9700000 9799999 22344
Chr01 9800000 9899999 22185
Chr01 9900000 9999999 21553
Chr01 10000000 10099999 21550
Chr01 10100000 10199999 20445
Chr01 10200000 10299999 22873
Chr01 10300000 10399999 20269
Chr01 10400000 10499999 21957
Chr01 10500000 10599999 17413
Chr01 10600000 10699999 16242
Chr01 10700000 10799999 22936
Chr01 10800000 10899999 21791
Chr01 10900000 10999999 20979
Chr01 11000000 11099999 21755
Chr01 11100000 11199999 20360
Chr01 11200000 11299999 20611
Chr01 11300000 11399999 20426
Chr01 11400000 11499999 20689
Chr01 11500000 11599999 23125
Chr01 11600000 11699999 23384
Chr01 11700000 11799999 25647
Chr01 11800000 11899999 22887
Chr01 11900000 11999999 22415
Chr01 12000000 12099999 19892
Chr01 12100000 12199999 19936
Chr01 12200000 12299999 19314
Chr01 12300000 12399999 20850
Chr01 12400000 12499999 22663
Chr01 12500000 12599999 21342
Chr01 12600000 12699999 21898
Chr01 12700000 12799999 16305
Chr01 12800000 12899999 15833
Chr01 12900000 12999999 15601
Chr01 13000000 13099999 15173
Chr01 13100000 13199999 15918
Chr01 13200000 13299999 16513
Chr01 13300000 13399999 17430
Chr01 13400000 13499999 15342
Chr01 13500000 13599999 16519
Chr01 13600000 13699999 14938
Chr01 13700000 13799999 17706
Chr01 13800000 13899999 17689
Chr01 13900000 13999999 12781
Chr01 14000000 14099999 22988
Chr01 14100000 14199999 23097
Chr01 14200000 14299999 23455
Chr01 14300000 14399999 22274
Chr01 14400000 14499999 21904
Chr01 14500000 14599999 20319
Chr01 14600000 14699999 22550
Chr01 14700000 14799999 19738
Chr01 14800000 14899999 18477
Chr01 14900000 14999999 14174
Chr01 15000000 15099999 20291
Chr01 15100000 15199999 21954
Chr01 15200000 15299999 23637
Chr01 15300000 15399999 23060
Chr01 15400000 15499999 24073
Chr01 15500000 15599999 25034
Chr01 15600000 15699999 22134
Chr01 15700000 15799999 18807
Chr01 15800000 15899999 25956
Chr01 15900000 15999999 24218
Chr01 16000000 16099999 22617
Chr01 16100000 16199999 21998
Chr01 16200000 16299999 21187
Chr01 16300000 16399999 18697
Chr01 16400000 16499999 25389
Chr01 16500000 16599999 21767
Chr01 16600000 16699999 19888
Chr01 16700000 16799999 22616
Chr01 16800000 16899999 23632
Chr01 16900000 16999999 12501
Chr01 17000000 17099999 14886
Chr01 17100000 17199999 17400
Chr01 17200000 17299999 21359
Chr01 17300000 17399999 23242
Chr01 17400000 17499999 22980
Chr01 17500000 17599999 21912
Chr01 17600000 17699999 21905
Chr01 17700000 17799999 22574
Chr01 17800000 17899999 22154
Chr01 17900000 17999999 23267
Chr01 18000000 18099999 23586
Chr01 18100000 18199999 23892
Chr01 18200000 18299999 24885
Chr01 18300000 18399999 21883
Chr01 18400000 18499999 21732
Chr01 18500000 18599999 20923
Chr01 18600000 18699999 22097
Chr01 18700000 18799999 23516
Chr01 18800000 18899999 22416
Chr01 18900000 18999999 24073
Chr01 19000000 19099999 22476
Chr01 19100000 19199999 25746
Chr01 19200000 19299999 23200
Chr01 19300000 19399999 24828
Chr01 19400000 19499999 23014
Chr01 19500000 19599999 23529
Chr01 19600000 19699999 22540
Chr01 19700000 19799999 22553
Chr01 19800000 19899999 21422
Chr01 19900000 19999999 23247
Chr01 20000000 20099999 21752
Chr01 20100000 20199999 19608
Chr01 20200000 20299999 25321
Chr01 20300000 20399999 25406
Chr01 20400000 20499999 23754
Chr01 20500000 20599999 23532
Chr01 20600000 20699999 22870
Chr01 20700000 20799999 24817
Chr01 20800000 20899999 23804
Chr01 20900000 20999999 23662
Chr01 21000000 21099999 24634
Chr01 21100000 21199999 23946
Chr01 21200000 21299999 25200
Chr01 21300000 21399999 19905
Chr01 21400000 21499999 23614
Chr01 21500000 21599999 22057
Chr01 21600000 21699999 24334
Chr01 21700000 21799999 25116
Chr01 21800000 21899999 27864
Chr01 21900000 21999999 22936
Chr01 22000000 22099999 25210
Chr01 22100000 22199999 24594
Chr01 22200000 22299999 24391
Chr01 22300000 22399999 28786
Chr01 22400000 22499999 25261
Chr01 22500000 22599999 23454
Chr01 22600000 22699999 24241
Chr01 22700000 22799999 22983
Chr01 22800000 22899999 24682
Chr01 22900000 22999999 24016
Chr01 23000000 23099999 22829
Chr01 23100000 23199999 24391
Chr01 23200000 23299999 23824
Chr01 23300000 23399999 19745
Chr01 23400000 23499999 20695
Chr01 23500000 23599999 16945
Chr01 23600000 23699999 18732
Chr01 23700000 23799999 19649
Chr01 23800000 23899999 22566
Chr01 23900000 23999999 23704
Chr01 24000000 24099999 24818
Chr01 24100000 24199999 25460
Chr01 24200000 24299999 26488
Chr01 24300000 24399999 21315
Chr01 24400000 24499999 24403
Chr01 24500000 24599999 25438
Chr01 24600000 24699999 22335
Chr01 24700000 24799999 22848
Chr01 24800000 24899999 18131
Chr01 24900000 24999999 21014
Chr01 25000000 25099999 20367
Chr01 25100000 25199999 20431
Chr01 25200000 25299999 21050
Chr01 25300000 25399999 24355
Chr01 25400000 25499999 26323
Chr01 25500000 25599999 22856
Chr01 25600000 25699999 19173
Chr01 25700000 25799999 24845
Chr01 25800000 25899999 26617
Chr01 25900000 25999999 23180
